Date,Product ID,Category,Region,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year
2025-01-02,P0005,Sports,West,251,1.0,10,Cloudy,0,1.12,Winter,2025
2025-01-02,P0006,Electronics,North,109,764.3,0,Snowy,0,777.85,Winter,2025
2025-01-02,P0007,Clothing,North,389,75.77,10,Foggy,0,72.79,Winter,2025
2025-01-02,P0008,Sports,South,119,1.0,5,Sunny,0,0.88,Winter,2025
2025-01-02,P0009,Beauty,Central,295,14.65,0,Cloudy,0,16.32,Winter,2025
2025-01-02,P0010,Groceries,South,284,29.71,0,Sunny,0,24.19,Winter,2025
2025-01-02,P0011,Groceries,North,127,33.71,10,Rainy,0,28.39,Winter,2025
2025-01-02,P0012,Sports,East,8,88.96,0,Sunny,1,92.66,Winter,2025
2025-01-02,P0013,Home Appliances,East,146,331.06,5,Windy,0,366.07,Winter,2025
2025-01-02,P0014,Groceries,East,232,50.24,0,Sunny,0,53.35,Winter,2025
2025-01-02,P0015,Home Appliances,North,11,181.33,0,Rainy,0,184.3,Winter,2025
2025-01-02,P0016,Home Appliances,Central,63,490.44,0,Snowy,0,435.68,Winter,2025
2025-01-02,P0017,Groceries,International,405,53.55,0,Cloudy,1,44.85,Winter,2025
2025-01-02,P0018,Clothing,Central,282,10.31,5,Sunny,1,9.61,Winter,2025
2025-01-02,P0019,Groceries,South,127,27.94,0,Snowy,0,23.52,Winter,2025
2025-01-02,P0020,Groceries,International,430,92.52,0,Sunny,1,90.16,Winter,2025
2025-01-02,P0021,Beauty,Central,447,116.75,0,Sunny,1,111.04,Winter,2025
2025-01-02,P0022,Home Appliances,North,1,135.04,5,Rainy,1,135.01,Winter,2025
2025-01-02,P0023,Clothing,East,264,77.51,5,Sunny,1,64.77,Winter,2025
2025-01-02,P0024,Electronics,East,59,258.35,10,Sunny,0,232.46,Winter,2025
2025-01-02,P0025,Electronics,East,194,1.0,10,Cloudy,0,0.84,Winter,2025
2025-01-02,P0026,Sports,East,167,86.78,5,Windy,0,89.73,Winter,2025
2025-01-02,P0027,Furniture,South,163,689.14,0,Sunny,0,736.91,Winter,2025
2025-01-02,P0028,Clothing,International,0,44.99,5,Sunny,1,39.81,Winter,2025
2025-01-02,P0029,Groceries,North,384,17.05,5,Rainy,0,14.56,Winter,2025
2025-01-02,P0030,Home Appliances,Central,91,166.59,10,Sunny,1,141.11,Winter,2025
2025-01-02,P0031,Clothing,International,454,51.62,0,Cloudy,1,55.03,Winter,2025
2025-01-02,P0032,Toys,East,79,1.0,5,Snowy,0,1.13,Winter,2025
2025-01-02,P0033,Furniture,East,75,358.91,0,Snowy,0,295.48,Winter,2025
2025-01-02,P0034,Clothing,South,275,124.4,5,Sunny,1,134.15,Winter,2025
2025-01-02,P0035,Home Appliances,West,82,213.59,5,Cloudy,1,220.6,Winter,2025
2025-01-02,P0036,Clothing,West,195,112.2,0,Cloudy,0,121.83,Winter,2025
2025-01-02,P0037,Home Appliances,East,0,163.13,5,Rainy,1,173.19,Winter,2025
2025-01-02,P0038,Home Appliances,North,76,304.6,5,Windy,1,301.63,Winter,2025
2025-01-02,P0039,Beauty,International,329,21.01,0,Sunny,0,21.42,Winter,2025
2025-01-02,P0040,Beauty,International,164,56.94,10,Windy,1,56.18,Winter,2025
2025-01-02,P0041,Home Appliances,South,112,189.78,0,Rainy,1,168.33,Winter,2025
2025-01-02,P0042,Furniture,East,57,341.61,0,Cloudy,0,378.12,Winter,2025
2025-01-02,P0043,Beauty,South,130,84.8,10,Rainy,1,74.64,Winter,2025
2025-01-02,P0044,Beauty,South,503,72.54,10,Sunny,0,71.81,Winter,2025
2025-01-02,P0045,Furniture,International,57,142.46,5,Cloudy,0,143.06,Winter,2025
2025-01-02,P0046,Toys,South,167,83.85,0,Cloudy,0,84.28,Winter,2025
2025-01-02,P0047,Beauty,South,273,41.04,5,Cloudy,0,46.22,Winter,2025
2025-01-02,P0048,Furniture,East,102,413.78,10,Rainy,0,353.12,Winter,2025
2025-01-02,P0049,Electronics,South,285,96.01,10,Windy,0,108.21,Winter,2025
2025-01-02,P0050,Sports,West,130,47.98,10,Sunny,0,52.47,Winter,2025
2025-01-02,P0051,Home Appliances,West,124,616.46,5,Cloudy,1,504.98,Winter,2025
2025-01-02,P0052,Groceries,West,0,29.09,0,Cloudy,0,32.64,Winter,2025
2025-01-02,P0053,Furniture,North,30,552.86,0,Rainy,0,485.75,Winter,2025
2025-01-02,P0054,Home Appliances,North,76,223.85,0,Windy,0,211.9,Winter,2025
2025-01-02,P0055,Home Appliances,East,0,410.84,10,Rainy,1,330.55,Winter,2025
2025-01-02,P0056,Sports,South,14,115.72,10,Cloudy,0,132.95,Winter,2025
2025-01-02,P0057,Toys,International,247,44.72,5,Windy,0,39.06,Winter,2025
2025-01-02,P0058,Furniture,Central,38,227.89,0,Cloudy,0,219.96,Winter,2025
2025-01-02,P0059,Home Appliances,West,0,454.29,5,Cloudy,1,427.15,Winter,2025
2025-01-02,P0060,Home Appliances,West,79,210.18,5,Cloudy,1,237.74,Winter,2025
2025-01-02,P0061,Beauty,East,0,71.48,10,Sunny,1,57.82,Winter,2025
2025-01-02,P0062,Beauty,South,367,74.49,0,Sunny,0,65.38,Winter,2025
2025-01-02,P0063,Furniture,Central,63,346.4,5,Cloudy,0,356.26,Winter,2025
2025-01-02,P0064,Clothing,East,211,66.49,5,Snowy,1,73.11,Winter,2025
2025-01-02,P0065,Home Appliances,International,23,490.64,5,Windy,0,442.85,Winter,2025
2025-01-02,P0066,Groceries,North,39,60.54,5,Snowy,0,67.35,Winter,2025
2025-01-02,P0067,Groceries,International,105,23.7,0,Sunny,1,23.86,Winter,2025
2025-01-02,P0068,Sports,West,293,20.64,0,Sunny,0,19.66,Winter,2025
2025-01-02,P0069,Electronics,North,118,639.63,0,Sunny,0,606.9,Winter,2025
2025-01-02,P0070,Electronics,International,0,483.58,10,Sunny,1,430.51,Winter,2025
2025-01-02,P0071,Groceries,East,235,22.6,0,Windy,1,18.23,Winter,2025
2025-01-02,P0072,Furniture,East,19,363.52,0,Rainy,0,361.33,Winter,2025
2025-01-02,P0073,Beauty,International,258,33.22,0,Foggy,1,28.17,Winter,2025
2025-01-02,P0074,Furniture,International,146,374.13,5,Sunny,1,386.39,Winter,2025
2025-01-02,P0075,Home Appliances,International,141,236.21,10,Sunny,0,231.87,Winter,2025
2025-01-02,P0076,Toys,Central,78,79.83,0,Cloudy,0,80.72,Winter,2025
2025-01-02,P0077,Sports,International,43,1.0,5,Sunny,1,1.05,Winter,2025
2025-01-02,P0078,Groceries,International,713,30.56,0,Rainy,0,34.47,Winter,2025
2025-01-02,P0079,Electronics,North,0,554.03,0,Snowy,0,539.47,Winter,2025
2025-01-02,P0080,Electronics,West,43,681.33,10,Snowy,0,562.98,Winter,2025
2025-01-02,P0081,Groceries,South,229,99.29,0,Snowy,0,87.99,Winter,2025
2025-01-02,P0082,Groceries,North,364,67.74,0,Rainy,0,68.19,Winter,2025
2025-01-02,P0083,Home Appliances,East,80,72.47,0,Snowy,0,80.12,Winter,2025
2025-01-02,P0084,Clothing,International,526,99.4,0,Sunny,0,109.06,Winter,2025
2025-01-02,P0085,Toys,Central,231,19.78,0,Sunny,0,22.36,Winter,2025
2025-01-02,P0086,Electronics,Central,108,512.21,5,Windy,0,511.59,Winter,2025
2025-01-02,P0087,Electronics,International,107,516.21,10,Cloudy,0,583.57,Winter,2025
2025-01-02,P0088,Electronics,East,102,417.9,5,Sunny,1,455.56,Winter,2025
2025-01-02,P0089,Electronics,East,126,81.04,10,Rainy,1,67.01,Winter,2025
2025-01-02,P0090,Beauty,East,59,83.89,0,Rainy,1,76.37,Winter,2025
2025-01-02,P0091,Groceries,South,432,37.59,10,Rainy,1,41.73,Winter,2025
2025-01-02,P0092,Groceries,Central,488,54.81,0,Foggy,1,59.17,Winter,2025
2025-01-02,P0093,Groceries,West,127,81.62,10,Rainy,1,79.0,Winter,2025
2025-01-02,P0094,Electronics,International,218,306.56,10,Sunny,0,324.39,Winter,2025
2025-01-02,P0095,Clothing,West,97,64.02,10,Sunny,0,57.86,Winter,2025
2025-01-02,P0096,Toys,International,226,63.61,10,Sunny,0,66.02,Winter,2025
2025-01-02,P0097,Sports,North,50,125.42,10,Rainy,1,141.81,Winter,2025
2025-01-02,P0098,Groceries,West,364,26.49,0,Windy,0,23.34,Winter,2025
2025-01-02,P0099,Furniture,International,180,534.7,10,Sunny,1,470.93,Winter,2025
2025-01-02,P0100,Furniture,West,52,219.17,0,Sunny,1,202.19,Winter,2025
2025-01-03,P0001,Beauty,East,0,49.84,0,Cloudy,1,49.03,Winter,2025
2025-01-03,P0002,Furniture,East,327,6.32,0,Cloudy,0,7.04,Winter,2025
2025-01-03,P0003,Home Appliances,South,114,452.84,5,Snowy,0,504.11,Winter,2025
2025-01-03,P0004,Electronics,West,33,1.0,0,Sunny,0,0.97,Winter,2025
2025-01-03,P0005,Clothing,South,250,97.21,5,Sunny,0,87.34,Winter,2025
2025-01-03,P0006,Groceries,International,166,53.95,10,Windy,0,45.23,Winter,2025
2025-01-03,P0007,Clothing,South,556,78.15,10,Rainy,1,78.15,Winter,2025
2025-01-03,P0008,Furniture,South,97,523.53,10,Snowy,0,514.34,Winter,2025
2025-01-03,P0009,Furniture,North,45,216.58,5,Cloudy,1,198.58,Winter,2025
2025-01-03,P0010,Beauty,East,384,19.73,10,Cloudy,0,22.42,Winter,2025
2025-01-03,P0011,Furniture,South,139,233.49,10,Cloudy,0,186.88,Winter,2025
2025-01-03,P0012,Clothing,South,390,43.03,5,Cloudy,1,35.69,Winter,2025
2025-01-03,P0013,Beauty,Central,243,17.88,0,Snowy,0,14.36,Winter,2025
2025-01-03,P0014,Home Appliances,West,39,203.38,10,Snowy,0,193.47,Winter,2025
2025-01-03,P0015,Clothing,East,208,27.62,5,Sunny,0,29.72,Winter,2025
2025-01-03,P0016,Home Appliances,South,58,327.65,0,Sunny,0,316.43,Winter,2025
2025-01-03,P0017,Beauty,East,103,106.35,5,Sunny,0,99.36,Winter,2025
2025-01-03,P0018,Groceries,East,479,42.32,0,Sunny,0,37.6,Winter,2025
2025-01-03,P0019,Toys,East,24,61.31,5,Snowy,0,51.24,Winter,2025
2025-01-03,P0020,Sports,North,121,263.07,10,Snowy,1,287.79,Winter,2025
2025-01-03,P0021,Electronics,East,90,297.44,10,Sunny,0,338.23,Winter,2025
2025-01-03,P0022,Clothing,International,364,94.09,0,Rainy,1,107.04,Winter,2025
2025-01-03,P0023,Home Appliances,North,52,1.0,0,Snowy,0,1.05,Winter,2025
2025-01-03,P0024,Furniture,North,68,391.35,5,Rainy,0,390.16,Winter,2025
2025-01-03,P0025,Clothing,North,265,26.38,0,Cloudy,0,21.95,Winter,2025
2025-01-03,P0026,Beauty,South,0,94.78,0,Sunny,0,102.26,Winter,2025
2025-01-03,P0027,Furniture,East,0,300.51,0,Rainy,0,303.34,Winter,2025
2025-01-03,P0028,Electronics,West,0,497.14,0,Rainy,0,425.7,Winter,2025
2025-01-03,P0029,Electronics,International,0,620.57,0,Sunny,0,710.26,Winter,2025
2025-01-03,P0030,Sports,East,81,325.51,0,Snowy,0,371.45,Winter,2025
2025-01-03,P0031,Groceries,West,428,81.43,0,Snowy,0,91.02,Winter,2025
2025-01-03,P0032,Home Appliances,International,104,170.99,0,Sunny,0,170.96,Winter,2025
2025-01-03,P0033,Sports,West,106,2.58,0,Windy,0,2.76,Winter,2025
2025-01-03,P0034,Groceries,West,134,54.34,0,Snowy,0,45.04,Winter,2025
2025-01-03,P0035,Clothing,Central,54,19.4,5,Rainy,1,16.88,Winter,2025
2025-01-03,P0036,Toys,North,188,74.96,0,Snowy,0,83.48,Winter,2025
2025-01-03,P0037,Home Appliances,West,181,466.6,0,Windy,1,526.01,Winter,2025
2025-01-03,P0038,Home Appliances,North,138,436.89,10,Snowy,1,423.58,Winter,2025
2025-01-03,P0039,Groceries,East,482,103.54,5,Sunny,0,100.26,Winter,2025
2025-01-03,P0040,Home Appliances,International,13,227.21,0,Rainy,0,228.95,Winter,2025
2025-01-03,P0041,Furniture,East,51,746.46,5,Snowy,0,720.01,Winter,2025
2025-01-03,P0042,Groceries,North,336,48.5,5,Sunny,0,41.54,Winter,2025
2025-01-03,P0043,Beauty,Central,447,8.48,5,Sunny,0,8.25,Winter,2025
2025-01-03,P0044,Furniture,North,50,87.59,5,Snowy,0,76.31,Winter,2025
2025-01-03,P0045,Toys,West,170,97.86,0,Snowy,1,103.47,Winter,2025
2025-01-03,P0046,Electronics,North,136,1000.0,5,Sunny,0,1005.82,Winter,2025
2025-01-03,P0047,Home Appliances,Central,0,479.69,0,Rainy,0,516.88,Winter,2025
2025-01-03,P0048,Home Appliances,West,0,78.41,0,Sunny,0,85.67,Winter,2025
2025-01-03,P0049,Sports,North,262,96.23,0,Rainy,0,98.29,Winter,2025
2025-01-03,P0050,Home Appliances,North,99,1.0,5,Sunny,0,0.95,Winter,2025
2025-01-03,P0051,Electronics,North,0,789.62,0,Sunny,0,814.82,Winter,2025
2025-01-03,P0052,Beauty,West,400,8.08,0,Sunny,1,8.89,Winter,2025
2025-01-03,P0053,Clothing,Central,557,146.98,5,Cloudy,0,129.78,Winter,2025
2025-01-03,P0054,Clothing,Central,439,70.19,0,Rainy,1,67.18,Winter,2025
2025-01-03,P0055,Electronics,East,15,372.84,10,Cloudy,0,422.06,Winter,2025
2025-01-03,P0056,Home Appliances,North,0,75.69,5,Snowy,1,70.0,Winter,2025
2025-01-03,P0057,Electronics,North,182,577.44,0,Snowy,0,636.61,Winter,2025
2025-01-03,P0058,Home Appliances,International,116,185.68,5,Sunny,0,156.54,Winter,2025
2025-01-03,P0059,Home Appliances,West,55,279.53,0,Sunny,0,241.24,Winter,2025
2025-01-03,P0060,Toys,West,74,70.23,5,Cloudy,0,65.95,Winter,2025
2025-01-03,P0061,Groceries,South,327,16.58,10,Cloudy,1,15.25,Winter,2025
2025-01-03,P0062,Groceries,South,284,35.66,0,Sunny,1,37.65,Winter,2025
2025-01-03,P0063,Electronics,South,11,600.47,0,Sunny,0,559.04,Winter,2025
2025-01-03,P0064,Home Appliances,South,68,352.75,0,Sunny,1,377.08,Winter,2025
2025-01-03,P0065,Furniture,International,101,437.93,0,Cloudy,0,452.57,Winter,2025
2025-01-03,P0066,Sports,Central,83,47.94,0,Snowy,0,43.69,Winter,2025
2025-01-03,P0067,Sports,East,62,116.38,0,Snowy,0,119.6,Winter,2025
2025-01-03,P0068,Groceries,West,426,50.25,10,Cloudy,0,55.64,Winter,2025
2025-01-03,P0069,Home Appliances,West,145,213.44,0,Cloudy,0,219.24,Winter,2025
2025-01-03,P0070,Groceries,West,512,84.32,0,Cloudy,1,78.68,Winter,2025
2025-01-03,P0071,Furniture,North,212,516.45,0,Snowy,0,415.81,Winter,2025
2025-01-03,P0072,Furniture,International,19,408.51,0,Cloudy,0,398.36,Winter,2025
2025-01-03,P0073,Furniture,Central,90,41.59,5,Cloudy,0,39.01,Winter,2025
2025-01-03,P0074,Toys,South,350,89.74,10,Cloudy,1,97.62,Winter,2025
2025-01-03,P0075,Sports,Central,149,153.15,0,Cloudy,1,133.09,Winter,2025
2025-01-03,P0076,Groceries,Central,181,41.9,10,Rainy,1,41.19,Winter,2025
2025-01-03,P0077,Home Appliances,East,151,266.65,0,Snowy,0,221.68,Winter,2025
2025-01-03,P0078,Electronics,Central,115,485.56,0,Sunny,0,477.24,Winter,2025
2025-01-03,P0079,Home Appliances,East,105,304.93,5,Snowy,0,275.46,Winter,2025
2025-01-03,P0080,Clothing,Central,269,42.54,0,Cloudy,1,39.59,Winter,2025
2025-01-03,P0081,Electronics,West,301,469.41,10,Rainy,1,505.93,Winter,2025
2025-01-03,P0082,Toys,West,48,51.03,10,Cloudy,0,54.58,Winter,2025
2025-01-03,P0083,Furniture,South,18,177.91,5,Rainy,0,195.33,Winter,2025
2025-01-03,P0084,Furniture,East,105,432.4,0,Sunny,0,410.08,Winter,2025
2025-01-03,P0085,Beauty,East,164,61.77,0,Sunny,1,60.99,Winter,2025
2025-01-03,P0086,Furniture,West,31,141.58,5,Sunny,0,144.88,Winter,2025
2025-01-03,P0087,Clothing,South,259,53.88,5,Cloudy,0,48.28,Winter,2025
2025-01-03,P0088,Clothing,North,639,50.97,0,Sunny,0,53.7,Winter,2025
2025-01-03,P0089,Electronics,East,68,656.26,5,Windy,0,602.47,Winter,2025
2025-01-03,P0090,Beauty,International,404,25.01,5,Cloudy,0,25.22,Winter,2025
2025-01-03,P0091,Furniture,North,7,75.7,10,Snowy,0,72.28,Winter,2025
2025-01-03,P0092,Home Appliances,East,114,185.05,0,Rainy,0,165.6,Winter,2025
2025-01-03,P0093,Electronics,Central,164,153.86,10,Sunny,0,133.34,Winter,2025
2025-01-03,P0094,Groceries,International,33,17.63,5,Sunny,0,16.86,Winter,2025
2025-01-03,P0095,Beauty,East,305,22.77,10,Snowy,0,23.28,Winter,2025
2025-01-03,P0096,Groceries,International,48,45.19,10,Sunny,0,49.15,Winter,2025
2025-01-03,P0097,Clothing,Central,143,1.0,5,Sunny,0,1.14,Winter,2025
2025-01-03,P0098,Sports,South,173,222.34,0,Sunny,0,230.13,Winter,2025
2025-01-03,P0099,Electronics,International,60,602.37,10,Cloudy,1,610.18,Winter,2025
2025-01-03,P0100,Clothing,International,175,64.42,5,Sunny,1,60.12,Winter,2025
2025-01-04,P0001,Toys,East,399,10.69,15,Rainy,1,10.23,Winter,2025
2025-01-04,P0002,Furniture,Central,124,476.4,15,Snowy,1,546.55,Winter,2025
2025-01-04,P0003,Toys,West,268,67.03,10,Snowy,0,74.22,Winter,2025
2025-01-04,P0004,Toys,North,403,81.32,0,Rainy,0,67.36,Winter,2025
2025-01-04,P0005,Beauty,North,101,62.76,5,Snowy,0,71.64,Winter,2025
2025-01-04,P0006,Sports,South,240,119.84,5,Cloudy,0,134.58,Winter,2025
2025-01-04,P0007,Home Appliances,International,172,454.52,20,Sunny,0,443.57,Winter,2025
2025-01-04,P0008,Clothing,South,85,61.09,20,Sunny,0,49.42,Winter,2025
2025-01-04,P0009,Beauty,Central,573,48.66,20,Cloudy,0,46.29,Winter,2025
2025-01-04,P0010,Sports,North,188,1.0,15,Cloudy,0,1.02,Winter,2025
2025-01-04,P0011,Clothing,East,667,139.33,0,Snowy,0,114.46,Winter,2025
2025-01-04,P0012,Beauty,East,392,26.77,20,Rainy,0,21.96,Winter,2025
